epoch,train_loss,val_loss,precision,recall,f1_macro,f1_micro,roc_auc,lr,epoch_time
1,0.013896844917061654,0.007697987204449156,0.915066287878788,0.5673552617461635,0.6557154576676538,0.8270455658990691,0.9747674134187865,0.0001,44.258601665496826
2,0.007515381074256517,0.005864087843446661,0.9046379730651473,0.759770700829977,0.8201984786390005,0.8820662768031189,0.9830676389138868,0.0001,39.08323383331299
3,0.005995518713342873,0.006137649469488001,0.8368768734219724,0.7758976656069883,0.8025899824202732,0.8799249530956847,0.9834214127990519,0.0001,37.93655490875244
4,0.005372256121005524,0.006121750601362121,0.8514696157459298,0.7800034103394246,0.8077023761612862,0.8723608445297505,0.9835401569577549,0.0001,37.56808066368103
5,0.004483165754513307,0.005886665161628024,0.8206698327186258,0.7831397295137531,0.8000507010419825,0.8786692759295499,0.9846696113742193,5e-05,47.33145451545715
6,0.0033782035906121813,0.004735255480736052,0.8823233984861254,0.8302589767867008,0.8541122753095189,0.9095283926852743,0.9890433419983591,5e-05,43.470911264419556
7,0.0028105734871827406,0.004826097358491713,0.9289330989610585,0.8329420674250927,0.8751538850143241,0.9089165867689357,0.988273081435044,5e-05,41.258041858673096
8,0.002473947764374316,0.005626753840784905,0.8800144328222342,0.8138388107773693,0.8440307073472838,0.8997107039537127,0.9846085131350931,5e-05,39.85285568237305
9,0.002259309215852144,0.005074417075513215,0.8793094161578028,0.8363106876693414,0.8569533671162748,0.9134751773049645,0.9863057917313439,2.5e-05,39.62621736526489
10,0.001727135533107106,0.005087332594824039,0.8800056028501005,0.8389200109939031,0.8586683622068733,0.9060077519379846,0.9875676384497922,2.5e-05,41.538015842437744
11,0.0015945872623177077,0.005616873926956648,0.8781562777459022,0.8385679213162587,0.8576141056695291,0.9092654824771963,0.983091910606483,2.5e-05,39.00065279006958
