epoch,train_loss,val_loss,precision,recall,f1_macro,f1_micro,roc_auc,lr,epoch_time
1,0.011989374138753523,0.0073401710192152,0.8356944083242581,0.6787229524203655,0.7331097402741371,0.8484848484848485,0.978818054961569,0.0001,52.74156427383423
2,0.007032186871563846,0.005517108312618556,0.8977524998864965,0.7374271471030229,0.800518576171326,0.8748768472906404,0.9872955075198685,0.0001,47.46032500267029
3,0.005750149158676239,0.005552995436966924,0.8629770201512158,0.7592921995539735,0.8055289473688328,0.8756121449559255,0.9853357610263187,0.0001,50.25369954109192
4,0.004899162331765348,0.0055486717502097205,0.8133582920347626,0.8373286339274082,0.8173910185450979,0.8814675446848542,0.9838730419025741,0.0001,50.283994913101196
5,0.0043250438333912325,0.005179487948179624,0.8905575685164238,0.747059522789358,0.8063630564557795,0.8922476840565577,0.9882034646346984,0.0001,45.64337706565857
6,0.003962591881652109,0.0056542290307549856,0.798304785604684,0.8691416186118838,0.825616736016515,0.8843407900999524,0.9876629426644983,0.0001,39.00157284736633
7,0.0034512778126041996,0.005593575489849357,0.8644751808874358,0.7972186835741472,0.8282890653391093,0.8958630527817404,0.9858411906425094,0.0001,41.04945421218872
8,0.0031522991026709363,0.0049883439106929855,0.9029362450967876,0.7773528642322626,0.8317975565871779,0.8933074684772065,0.9863957571128468,0.0001,38.805694580078125
9,0.0028083308686671607,0.005491472818194178,0.824027631472328,0.8563823683710002,0.8384805778918317,0.894712643678161,0.9897790445197218,0.0001,40.37035608291626
10,0.0028097284775735303,0.005545468629985038,0.877248118557675,0.8312010569265422,0.851947348445387,0.9058597502401537,0.9879235253639143,0.0001,41.0399329662323
11,0.002489418031076308,0.0065022186727373525,0.7977673358171606,0.8655996815390907,0.8257056202304476,0.8872109485606419,0.9875281886112423,5e-05,43.22220706939697
12,0.0017110483038810674,0.005141443424952864,0.9302573713143429,0.8128841421655202,0.8632768567390587,0.9114533205004812,0.9898692995204467,5e-05,41.52834415435791
13,0.0013588746879461475,0.005315903333505079,0.8619363481461968,0.8774509855149403,0.8694886560598636,0.9102803738317757,0.989893022721688,5e-05,46.64040422439575
