epoch,train_loss,val_loss,precision,recall,f1_macro,f1_micro,roc_auc,lr,epoch_time
1,0.012887544553218918,0.00839654384259829,0.7452454846731047,0.7016088685545805,0.717914689354475,0.8316467341306347,0.9704252975375075,0.0001,44.614384174346924
2,0.007643866959789937,0.005997321023842541,0.7790298234589406,0.7270276148664325,0.7430273379930808,0.8738049713193117,0.9828737828679753,0.0001,41.503159284591675
3,0.0060739587484435606,0.006302203024121917,0.8837348196947374,0.7312925029661941,0.7928372502916644,0.869,0.9819224930769858,0.0001,40.37656831741333
4,0.0053730443788861685,0.005147871411389718,0.8879664601975551,0.7109568388278464,0.7666395045632334,0.8943798449612403,0.9874015389653624,0.0001,41.14020347595215
5,0.004666112620298836,0.005874024909305371,0.8984617121244132,0.7796831423682595,0.8328832666818332,0.8825301204819277,0.9882500767153206,0.0001,41.079655170440674
6,0.0043433532999320465,0.0059686849738266,0.8680176259172684,0.8158183055455115,0.8319636447594032,0.8801089918256131,0.9880655905693001,0.0001,41.54122829437256
7,0.0037207141270945696,0.0055818676719663,0.8890329432648931,0.7903887429886,0.8341474167908594,0.8845968131337518,0.986722736942468,5e-05,41.25503063201904
8,0.00294658533890139,0.005654508948436607,0.8139696685428393,0.8282921662866176,0.8205635233257654,0.8937175247992443,0.9880749516346794,5e-05,41.42385244369507
9,0.002473239769989794,0.005279261564097951,0.8878560031050543,0.8101393849963179,0.8417851173319646,0.8984674329501916,0.989634336787913,5e-05,40.2975709438324
