epoch,train_loss,val_loss,precision,recall,f1_macro,f1_micro,roc_auc,lr,epoch_time
1,0.012766875843094154,0.007805385461108664,0.7860198526695269,0.698071198760434,0.7083549578448858,0.8397467121285923,0.9775529101597824,0.0001,72.7952070236206
2,0.007448109202086926,0.006328200716209613,0.8518227386648439,0.7767057793235197,0.8045309499776278,0.8734117647058823,0.982463526795804,0.0001,43.48946166038513
3,0.005940715215507556,0.005802168718034054,0.8216802220317782,0.8195316478801902,0.8188800642605654,0.8846880907372401,0.9848883025421826,0.0001,47.23102927207947
4,0.005247194467916746,0.005686056715341569,0.8259203028939871,0.7704487557312165,0.779616634960325,0.8723920426977195,0.9879630211913232,0.0001,45.786550521850586
5,0.004831099730323661,0.005127459003834717,0.8649991501554002,0.8006563597082506,0.8266945905445383,0.8922184630256162,0.989109536142588,0.0001,43.267855167388916
6,0.004014254943785173,0.005889534429347111,0.906237228187176,0.7584327696345328,0.8125884878572387,0.8783585735222277,0.9868991914858356,0.0001,43.94709324836731
7,0.0037492626593236557,0.006104625633254774,0.8549715513770284,0.7957114633386769,0.8133162129772299,0.8828915662650603,0.9868294897845803,0.0001,43.949832916259766
8,0.003635638514321975,0.005299270543727582,0.918138260312092,0.7863607933585122,0.8451344318478926,0.8994197292069632,0.9898038246611202,5e-05,44.578386068344116
9,0.0025359196758786722,0.004827295410273187,0.9156344824648754,0.8447490265379446,0.8776615509848327,0.9128352490421456,0.9915072094048335,5e-05,45.36569905281067
10,0.002144745760068128,0.005138270314477021,0.9032692803742027,0.8354585295410637,0.867368722598645,0.9161105815061964,0.9890899657208938,5e-05,46.6326949596405
11,0.0018874135655774311,0.005443242356458371,0.8972776868022805,0.8200322998158625,0.8549455532730181,0.9135802469135802,0.9893422593273238,5e-05,47.21426463127136
12,0.001621702441850423,0.005609171442348131,0.8393055691300968,0.8677161428886933,0.8487756757872261,0.9095193213949104,0.990399999361835,2.5e-05,43.08774209022522
13,0.001237879925650883,0.005723659839023346,0.8669978630303865,0.8514769443289086,0.8570889016789885,0.9149952244508118,0.991149494027569,2.5e-05,37.19737672805786
14,0.0009740089041985233,0.005754851325714992,0.8989635252145352,0.8447490265379446,0.8708410095176201,0.9154658981748319,0.9901604055058352,2.5e-05,37.32477855682373
