epoch,train_loss,val_loss,dice,iou,pixel_acc,lr
1,0.5604024181984089,0.48431892405179416,0.7593959295614199,0.7344060777263208,0.9863596108149398,0.0001
2,0.4749147476090325,0.4707649431445382,0.5701212410561063,0.539335369725119,0.9840359416874972,0.0001
3,0.2076679582838659,0.14934587791900744,0.7796246080913327,0.754492478275841,0.987275991588831,0.0001
4,0.15472070903689772,0.14746064548804003,0.7819378067823973,0.7562218650498174,0.9882426634430885,0.0001
5,0.15208226258556048,0.14309009778398005,0.7895157547159628,0.7640496919100935,0.9885583638467572,0.0001
6,0.1504181574119462,0.14402047417719255,0.7917370955375108,0.7668484571305189,0.989158558235927,0.0001
7,0.1488421523846962,0.14316121641207824,0.792498458515514,0.7670575471764262,0.9880461956967007,0.0001
8,0.1469033870321733,0.14319130890494722,0.7900952974503691,0.7644167318940163,0.9874716492539103,0.0001
9,0.14512299064684797,0.13973940261216325,0.8013673143630679,0.776031629267064,0.9889714358882471,0.0001
10,0.1440040460560057,0.14144111327318984,0.7960065488110889,0.7716804813932289,0.9872234544970773,0.0001
11,0.14082905476843868,0.13598301587626338,0.7953209860081022,0.7671065113761208,0.9881614819169044,0.0001
12,0.1398522034453021,0.14076085621491075,0.7973131862553683,0.7738384072753516,0.988344815644351,0.0001
13,0.13462271461332287,0.13347043156285177,0.8029668530957266,0.7773489074950869,0.9883138628845866,0.0001
14,0.13554469109685333,0.1333366685165939,0.8075772198763761,0.7821968245235357,0.988966619426554,0.0001
15,0.13557878434106155,0.12756224205209452,0.8096792931583795,0.7827120040628043,0.9886908568441868,0.0001
16,0.13130170929211157,0.13077327968891372,0.8075662759894674,0.7816674204712565,0.988338137214834,0.0001
17,0.13244621268577045,0.12761376768519933,0.8126102093268525,0.7855041728100993,0.9880807961929928,0.0001
18,0.12935204217831295,0.12924921711568127,0.8091532466086474,0.7839838262986053,0.9892204214226116,0.0001
19,0.13081392133125552,0.15322013791989197,0.7916908426718279,0.7685192444107749,0.9822579182007096,0.0001
20,0.13553757877813447,0.12322425126860087,0.8190884312445467,0.7939049195159565,0.9890510412779722,0.0001
21,0.12900728586647245,0.12735034364529632,0.8097932233729146,0.782412704419006,0.9878153990615498,0.0001
22,0.1322026140049652,0.13559982705522666,0.8080755976790731,0.7841399345885623,0.9884550869464874,0.0001
23,0.12949198080985636,0.12200598137199202,0.8171485750512644,0.7904575223272498,0.9883434095165946,0.0001
24,0.1265392908067615,0.12540913161567666,0.813760266723958,0.7866051732139154,0.9872512783516537,5e-05
25,0.11761246208239484,0.11834713734093714,0.8227349235252901,0.7964960245246236,0.9889001341705973,5e-05
26,0.1161993860370583,0.11382063501514494,0.829699288376353,0.8038128485733812,0.9896318851546808,5e-05
27,0.11788781869742605,0.11681583832780068,0.8247812363234434,0.7984011965719137,0.9893088567663323,5e-05
28,0.11762743382542222,0.11330162043767897,0.8309311436658556,0.8045492924072526,0.9886690892956473,5e-05
29,0.11440844533068162,0.11560595226050778,0.8274228891188448,0.8019034195352684,0.9891966202042319,5e-05
30,0.11357341864594707,0.11980688377198848,0.8219942988997156,0.7979921278628436,0.9892635193060745,5e-05
31,0.11397510407147585,0.1139580574394627,0.8298067392950709,0.803410732949322,0.9889934333887967,5e-05
32,0.11154254985628305,0.10974264460277151,0.8351307338611647,0.8082599263976921,0.989361550997604,5e-05
33,0.11207295013246713,0.12030235512859443,0.8231907114386559,0.7981270422989671,0.9896669895811514,5e-05
34,0.11356270851360427,0.11072066963904283,0.8346299837258729,0.8085160641507669,0.989587897604162,5e-05
35,0.11281010346832099,0.11529189403253523,0.8267957537688992,0.8005465909161351,0.9888738295571371,5e-05
36,0.11318907600862009,0.11407213169150054,0.828362798826261,0.8019690672782335,0.9891276115720923,2.5e-05
37,0.10981434146563213,0.10923263525844297,0.8341248221695423,0.8074753927913579,0.9895308498631824,2.5e-05
38,0.10763481987295327,0.10869017482565885,0.8360612897033041,0.8099090826104988,0.9897512668235735,2.5e-05
39,0.1079635085662206,0.10874547218819233,0.835137581283396,0.8083309805528684,0.9898504516617819,2.5e-05
40,0.10572401491028291,0.1092903485564007,0.8371536101807248,0.8113584030758251,0.9896234825930812,2.5e-05
