model,best_epoch,selection_metric,val_loss,precision,recall,macro_f1,micro_f1,roc_auc,training_time_seconds,training_time_minutes,epochs_completed,peak_macro_f1_epoch,peak_macro_f1
Baseline ResNet18,7,lowest_val_loss,0.005164152454245456,0.8953441349294855,0.7999703859570653,0.8341130632683655,0.8989084005695301,0.9860225551388782,459.6849842071533,7.661416403452555,12,11,0.8598118433581836
CBAM-ResNet18,9,lowest_val_loss,0.004827295410273187,0.9156344824648754,0.8447490265379446,0.8776615509848327,0.9128352490421456,0.9915072094048335,641.8679718971252,10.697799531618754,14,9,0.8776615509848327
