model,seed,criterion,epoch,val_loss,macro_f1
CBAM-ResNet18,42,lowest_val_loss,9,0.004827295410273187,0.8776615509848327
CBAM-ResNet18,42,peak_macro_f1,9,0.004827295410273187,0.8776615509848327
CBAM-ResNet18,0,lowest_val_loss,8,0.0049883439106929855,0.8317975565871779
CBAM-ResNet18,0,peak_macro_f1,13,0.005315903333505079,0.8694886560598636
CBAM-ResNet18,7,lowest_val_loss,12,0.0051551283449644885,0.8483543191394685
CBAM-ResNet18,7,peak_macro_f1,16,0.005860616839234323,0.874047955490354
