model,seed,best_epoch,precision,recall,macro_f1,micro_f1,roc_auc,val_loss,epochs_completed
Baseline ResNet18,42,7,0.8953441349294855,0.7999703859570653,0.8341130632683655,0.8989084005695301,0.9860225551388782,0.005164152454245456,12
Baseline ResNet18,0,8,0.8339717272511284,0.8441881580753284,0.8366570333333663,0.8954937679769894,0.9870279613629126,0.005294614428086049,13
Baseline ResNet18,7,8,0.9043818617070121,0.826740561998856,0.862829243126582,0.9120458891013384,0.991291013547171,0.00466757761492094,13
CBAM-ResNet18,42,9,0.9156344824648754,0.8447490265379446,0.8776615509848327,0.9128352490421456,0.9915072094048335,0.004827295410273187,14
CBAM-ResNet18,0,8,0.9029362450967876,0.7773528642322626,0.8317975565871779,0.8933074684772065,0.9863957571128468,0.0049883439106929855,13
CBAM-ResNet18,7,12,0.8493604093675087,0.8512934382840036,0.8483543191394685,0.9079637577491655,0.9888876368556553,0.0051551283449644885,17
